Recording	Participant	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	697	556228	557787	1559	StudentA	1	0,22207	0,2062	2,99149
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	698	557847	557947	100	StudentA	1	0,21164	0,30905	2,93094
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	699	558167	558347	180	StudentA	1	0,19049	0,31105	2,94726
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	700	558367	558447	80		0	0,16062	0,26643	2,86513
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	701	558467	558587	120	StudentA	1	0,13574	0,27437	2,8814
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	702	559187	559327	140	Board	1	0,67247	0,35668	2,99846
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	703	559347	559846	500	Board	1	0,53996	0,34601	3,00271
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	704	559886	560486	600	Board	1	0,63759	0,36093	2,89869
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	705	560546	560806	260	Board	1	0,49898	0,20872	2,87702
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	706	560846	562565	1719	Board	1	0,63218	0,43928	2,95785
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	707	562605	562884	280	Board	1	0,56891	0,32222	2,94489
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	708	562924	563084	160	Board	1	0,45694	0,32424	2,9063
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	709	563124	564923	1799	Board	1	0,60822	0,40252	2,9084
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	710	564943	565243	300	Board	1	0,63165	0,49929	2,96862
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	711	565263	565723	460	Board	1	0,7407	0,39918	3,09046
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	712	565743	565843	100	Board	1	0,80946	0,48392	3,05222
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	713	565863	565943	80	Board	1	0,83173	0,43217	3,05829
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	714	565983	566083	100	Board	1	0,71004	0,39722	3,05953
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	715	566103	566842	740	Board	1	0,67776	0,48701	2,98067
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	716	566882	567102	220	Board	1	0,86479	0,64394	2,96304
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	717	567482	567562	80	Classroom_others	1	0,25344	0,2624	2,97569
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	718	567582	567782	200	StudentA	1	0,17896	0,31113	3,0238
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	719	567882	568481	600	StudentA	1	0,28386	0,2983	2,99634
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	720	568501	568621	120	StudentA	1	0,21741	0,24655	2,95206
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	721	568701	569581	879	StudentA	1	0,3318	0,18893	2,95774
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	722	569640	570100	460	StudentB	1	0,55251	0,10158	2,97211
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	723	570140	570580	440	StudentC	1	0,72158	0,14893	3,04295
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	724	570760	572419	1659	StudentA	1	0,31185	0,09796	2,97509
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	725	572439	572559	120	StudentA	1	0,29996	0,22697	2,96468
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	726	572579	572739	160	StudentA	1	0,27173	0,24307	2,96504
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	727	573019	573098	80	StudentC	1	0,69542	0,26703	3,02025
